Designator,Mid X,Mid Y,Rotation,Layer
R63,110.199,-86.078,0.0,top
R64,110.199,-85.062,0.0,top
R65,92.673,-96.238,0.0,top
R66,98.134,-94.079,270.0,top
R67,90.26,-88.745,90.0,top
R68,91.403,-88.745,90.0,top
R69,91.403,-94.46,270.0,top
R7,86.196,-20.578,0.0,top
R70,98.642,-92.047,180.0,top
R71,90.26,-90.777,90.0,top
R72,91.403,-90.777,90.0,top
R73,110.199,-84.046,0.0,top
R74,108.167,-84.046,180.0,top
R75,109.691,-74.902,90.0,top
R76,109.691,-76.934,90.0,top
R77,93.689,-86.078,270.0,top
R78,100.801,-85.57,270.0,top
R79,92.673,-79.728,270.0,top
R8,89.371,-20.578,0.0,top
R80,93.689,-79.728,270.0,top
R81,93.181,-84.554,0.0,top
R82,101.309,-84.046,180.0,top
R83,91.657,-79.728,90.0,top
R84,95.213,-78.966,180.0,top
R85,109.691,-72.87,0.0,top
R86,109.691,-71.854,0.0,top
R87,109.691,-70.838,0.0,top
R88,109.691,-69.822,0.0,top
R89,105.373,-77.442,180.0,top
R9,106.008,-98.524,0.0,top
R90,105.373,-73.886,180.0,top
R91,88.863,-77.696,315.0,top
R92,95.213,-77.95,0.0,top
R93,106.135,-76.426,180.0,top
R94,107.913,-73.886,180.0,top
R95,87.466,-76.299,315.0,top
R96,95.213,-76.934,180.0,top
R97,80.1,-75.57599,180.0,top
R98,80.1,-74.43299,180.0,top
R99,83.783,-97.254,0.0,top
RN1,106.389,-67.028,180.0,top
RN10,121.794,-40.728,90.0,top
RN11,117.984,-40.728,90.0,top
RN12,121.794,-37.172,90.0,top
RN13,117.984,-37.172,90.0,top
RN14,36.793,-76.426,180.0,top
RN15,36.793,-71.346,180.0,top
RN2,106.897,-86.586,180.0,top
RN3,109.183,-81.506,180.0,top
RN4,106.389,-71.346,180.0,top
RN5,35.269,-94.714,0.0,top
RN6,31.205,-94.714,180.0,top
RN7,35.269,-98.524,0.0,top
RN8,31.205,-98.524,180.0,top
RN9,35.269,-102.461,180.0,top
SW1,39.206,-81.633,0.0,top
SW2,39.206,-88.237,180.0,top
U1,95.2405,-24.09,0.0,top
U10,99.4019,-50.1828,0.0,top
U11,82.64,-45.021,270.0,top
U12,119.762,-29.171,180.0,top
U13,103.849,-50.137,0.0,top
U14,108.929,-50.137,0.0,top
U15,108.929,-54.455,0.0,top
U16,91.403,-72.87,135.0,top
U17,99.531,-67.028,180.0,top
U18,94.705,-91.666,90.0,top
U19,99.531,-89.634,180.0,top
U2,82.64,-48.613,90.0,top
U20,97.245,-83.538,90.0,top
U21,102.325,-81.506,180.0,top
U22,100.293,-76.426,180.0,top
U23,99.531,-71.346,180.0,top
U24,85.561,-94.333,315.0,top
U25,81.624,-72.14699,270.0,top
U26,66.755,-86.762,135.0,top
U27,32.1195,-110.335,180.0,top
U28,120.74,-47.089,90.0,top
U3,60.923,-62.71,0.0,top
U30,9.8205,-78.712,0.0,top
U31,9.8205,-80.744,0.0,top
U32,9.8205,-82.776,0.0,top
U33,9.8205,-84.808,0.0,top
U35,9.822,-94.968,0.0,top
U36,54.065,-25.626,180.0,top
U37,9.822,-97.0,0.0,top
U38,6.44,-94.968,0.0,top
U39,6.44,-78.712,0.0,top
U4,74.512,-68.044,0.0,top
U40,6.44,-80.744,0.0,top
U41,29.681,-88.11,180.0,top
U42,29.681,-80.998,180.0,top
U43,29.681,-73.886,180.0,top
U44,29.681,-66.774,180.0,top
U45,6.44,-82.776,0.0,top
U46,6.44,-84.808,0.0,top
U47,10.201,-49.75,0.0,top
U48,10.201,-40.86,0.0,top
U49,10.201,-31.97,0.0,top
U5,59.907,-69.441,180.0,top
U50,10.201,-23.08,0.0,top
U55,9.822,-86.84,0.0,top
U56,9.822,-88.872,0.0,top
U57,9.822,-90.904,0.0,top
U58,9.822,-92.936,0.0,top
U59,6.44,-97.0,0.0,top
U6,77.179,-61.44,180.0,top
U60,10.201,-58.64,0.0,top
U61,10.201,-67.53,0.0,top
U63,6.44,-86.84,0.0,top
U64,6.44,-88.872,0.0,top
U65,6.44,-90.904,0.0,top
U66,6.44,-92.936,0.0,top
U67,35.347,-23.08,0.0,top
U68,35.347,-31.97,0.0,top
U69,35.347,-40.86,0.0,top
U7,102.071,-99.54,270.0,top
U70,35.347,-49.75,0.0,top
U71,121.502,-64.486,270.0,top
U72,38.317,-62.456,90.0,top
U74,123.28,-64.486,270.0,top
U75,44.921,-62.456,90.0,top
U77,125.058,-64.486,270.0,top
U78,39.968,-62.456,90.0,top
U8,116.168,-106.398,270.0,top
U80,126.836,-64.486,270.0,top
U81,46.572,-62.456,90.0,top
U83,117.946,-64.486,270.0,top
U84,41.619,-62.456,90.0,top
U86,119.724,-64.486,270.0,top
U87,43.27,-62.456,90.0,top
U89,128.614,-64.486,270.0,top
U9,103.849,-54.455,0.0,top
U90,48.223,-62.456,90.0,top
U92,130.392,-64.486,270.0,top
U93,49.874,-62.456,90.0,top
Y1,79.084,-100.048,315.0,top
